CO2,seconds
434,2033.46
436,2034.45
436,2035.44
436,2036.43
434,2037.42
434,2038.41
441,2039.4
441,2040.39
436,2041.38
436,2042.37
436,2043.36
436,2044.35
436,2045.34
434,2046.33
436,2047.32
434,2048.31
436,2049.3
436,2050.29
436,2051.28
436,2052.27
436,2053.26
434,2054.25
436,2055.24
436,2056.23
436,2057.22
434,2058.21
436,2059.2
434,2060.19
436,2061.18
434,2062.17
436,2063.16
434,2064.15
436,2065.14
441,2066.13
436,2067.12
434,2068.11
436,2069.1
434,2070.09
434,2071.08
434,2072.07
436,2073.06
436,2074.05
436,2075.04
434,2076.03
434,2077.02
441,2078.01
434,2079
441,2079.99
436,2080.98
441,2081.97
441,2082.96
436,2083.95
436,2084.94
441,2085.93
436,2086.92
434,2087.91
436,2088.9
441,2089.89
436,2090.88
441,2091.87
436,2092.86
436,2093.85
436,2094.84
434,2095.83
441,2096.82
436,2097.81
432,2098.8
434,2099.79
434,2100.78
434,2101.77
434,2102.76
434,2103.75
436,2104.74
434,2105.73
434,2106.72
434,2107.71
434,2108.7
432,2109.69
432,2110.68
432,2111.67
432,2112.66
432,2113.65
427,2114.64
427,2115.63
427,2116.62
432,2117.61
424,2118.6
424,2119.59
424,2120.58
